sequence,unit_id,matched_unit_id,channel,model,protocol,seed,outer_fold,n_outer_folds,n_fit,n_validation,n_outer_test,train_seed_key,train_seed_u32,inner_split_path,inner_split_sha256,outer_fold_sha256,pair_manifest_sha256,cache_sha256,split_manifest_v2_sha256,tier_b_sha256
1,d1__cnn__random__s0__f000__speech,d1__cnn__random__s0__f000,speech,cnn,random,0,0,5,606,203,203,D1-train|cnn|random|0|0,432898033,random/fold_000_seed_0.npz,d3e9a67842f800c86600c044dbb986f34ee3f5a28d19c742c6d6990c178b48ac,e4f5e0cba166e48fd03218358881d55060bee866fb3889eecbcd828d2667a454,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,72c4f52c5380c67425cd66055856dc518fb9f7af40ad053f6f26ff2940aa3196,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
2,d1__cnn__random__s0__f000__song,d1__cnn__random__s0__f000,song,cnn,random,0,0,5,606,203,203,D1-train|cnn|random|0|0,432898033,random/fold_000_seed_0.npz,d3e9a67842f800c86600c044dbb986f34ee3f5a28d19c742c6d6990c178b48ac,e4f5e0cba166e48fd03218358881d55060bee866fb3889eecbcd828d2667a454,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,6a29d9106bfb0df837fe263f5f9a9620776a69480995032b5a01525bc9f86929,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
3,d1__cnn__random__s0__f001__speech,d1__cnn__random__s0__f001,speech,cnn,random,0,1,5,606,203,203,D1-train|cnn|random|1|0,593928660,random/fold_001_seed_0.npz,3c23827d303e7349e59522aa8a45c3efa39b4fad7ea4ed7278f4d568263f04e0,bdf4c2f033f285b8ddab7f284a544786ee5a588d98b17c565d0a40a085db0fd6,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,72c4f52c5380c67425cd66055856dc518fb9f7af40ad053f6f26ff2940aa3196,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
4,d1__cnn__random__s0__f001__song,d1__cnn__random__s0__f001,song,cnn,random,0,1,5,606,203,203,D1-train|cnn|random|1|0,593928660,random/fold_001_seed_0.npz,3c23827d303e7349e59522aa8a45c3efa39b4fad7ea4ed7278f4d568263f04e0,bdf4c2f033f285b8ddab7f284a544786ee5a588d98b17c565d0a40a085db0fd6,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,6a29d9106bfb0df837fe263f5f9a9620776a69480995032b5a01525bc9f86929,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
5,d1__cnn__random__s0__f002__speech,d1__cnn__random__s0__f002,speech,cnn,random,0,2,5,607,203,202,D1-train|cnn|random|2|0,1643147674,random/fold_002_seed_0.npz,81b2f773a0b3e973e6cb6c00dce1f7586ce2e0a02a138951df7daa989b730731,073e2467f5d5be81d6ee022ffa072c23a053fc6838837783532d01ec4692ec68,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,72c4f52c5380c67425cd66055856dc518fb9f7af40ad053f6f26ff2940aa3196,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
6,d1__cnn__random__s0__f002__song,d1__cnn__random__s0__f002,song,cnn,random,0,2,5,607,203,202,D1-train|cnn|random|2|0,1643147674,random/fold_002_seed_0.npz,81b2f773a0b3e973e6cb6c00dce1f7586ce2e0a02a138951df7daa989b730731,073e2467f5d5be81d6ee022ffa072c23a053fc6838837783532d01ec4692ec68,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,6a29d9106bfb0df837fe263f5f9a9620776a69480995032b5a01525bc9f86929,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
7,d1__cnn__random__s0__f003__speech,d1__cnn__random__s0__f003,speech,cnn,random,0,3,5,607,203,202,D1-train|cnn|random|3|0,1551954806,random/fold_003_seed_0.npz,c9ad5e58fb393205a5224da89fb4010faa5525bde166e74fb070b03394130e6e,3dd5a31f6c3fd1db761d96076ac1ba488492fc4f5d1de0bfb3509cce9e84f036,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,72c4f52c5380c67425cd66055856dc518fb9f7af40ad053f6f26ff2940aa3196,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
8,d1__cnn__random__s0__f003__song,d1__cnn__random__s0__f003,song,cnn,random,0,3,5,607,203,202,D1-train|cnn|random|3|0,1551954806,random/fold_003_seed_0.npz,c9ad5e58fb393205a5224da89fb4010faa5525bde166e74fb070b03394130e6e,3dd5a31f6c3fd1db761d96076ac1ba488492fc4f5d1de0bfb3509cce9e84f036,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,6a29d9106bfb0df837fe263f5f9a9620776a69480995032b5a01525bc9f86929,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
9,d1__cnn__random__s0__f004__speech,d1__cnn__random__s0__f004,speech,cnn,random,0,4,5,607,203,202,D1-train|cnn|random|4|0,4282530992,random/fold_004_seed_0.npz,30781bbac76bdec7e4bc50275cd5687d8d7069c5c64933df04e7b66833441d8e,c811ca9e6ebe58375485ea0be044de30bdd5e78d5ba8e4aa115d41f678ea187c,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,72c4f52c5380c67425cd66055856dc518fb9f7af40ad053f6f26ff2940aa3196,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
10,d1__cnn__random__s0__f004__song,d1__cnn__random__s0__f004,song,cnn,random,0,4,5,607,203,202,D1-train|cnn|random|4|0,4282530992,random/fold_004_seed_0.npz,30781bbac76bdec7e4bc50275cd5687d8d7069c5c64933df04e7b66833441d8e,c811ca9e6ebe58375485ea0be044de30bdd5e78d5ba8e4aa115d41f678ea187c,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,6a29d9106bfb0df837fe263f5f9a9620776a69480995032b5a01525bc9f86929,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
