hypothesis_id,claim_id,family,family_size,corpus_level,model_levels,contrast,definition,direction,sidedness,unit,n_units_expected,statistic,ci_method,test,aggregation,missing_rule,truncation_rule,sesoi_or_margin,a_priori_status,power_holm,power_note
N01,C2a,N-decomp,4,subesco_980,"cnn,resnet_se,transformer",RR-GG,"UAR(RR)-UAR(GG), scratch mean",>0,"two-sided test, directional hypothesis",speaker,20,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,0.996,
N02,C2a,N-decomp,4,subesco_980,"hubert_base,wavlm_base_plus,wav2vec2_base",RR-GG,"UAR(RR)-UAR(GG), probe mean",>0,"two-sided test, directional hypothesis",speaker,20,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,0.83,weakest member; S3 observed ~3 pp with WavLM fragile
N03,C2b,N-decomp,4,subesco_980,"cnn,resnet_se,transformer",RG-GG,outer test leakage,>0,"two-sided test, directional hypothesis",speaker,20,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,0.86,
N04,C2b,N-decomp,4,subesco_980,"cnn,resnet_se,transformer",RR-RG,inner selection leakage under a leaky outer split,>0,"two-sided test, directional hypothesis",speaker,20,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,0.674,
N05,C3a,N-mech,4,cremad,"cnn,resnet_se",mech prm-none,"prompt overlap at speaker-exclusive training, matched N",>0,"two-sided test, directional hypothesis",speaker,91,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,0.611,
N06,C3b,N-mech,4,cremad,"cnn,resnet_se",mech spk-none,"cross-prompt speaker overlap at prompt-exclusive training, matched N",>0,"two-sided test, directional hypothesis",speaker,91,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,0.582,
N07,C3a,N-mech,4,subesco_full,"cnn,resnet_se",mech prm-none,"prompt overlap at speaker-exclusive training, matched N",>0,"two-sided test, directional hypothesis",speaker,20,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,estimate,0.292,
N08,C3b,N-mech,4,subesco_full,"cnn,resnet_se",mech spk-none,"cross-prompt speaker overlap at prompt-exclusive training, matched N",>0,"two-sided test, directional hypothesis",speaker,20,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,estimate,0.486,
N09,C3c,N-mech,4,subesco_full,"cnn,resnet_se",mech both_sib-both,sibling-take increment at matched N,>0,"two-sided test, directional hypothesis",speaker,20,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,0.667,
N10,C3d,N-mech,4,cremad_24 vs cremad_91m,"cnn,resnet_se",[RR-GG](cremad_24)-[RR-GG](cremad_91m),"speaker-count/density moderator at matched N; paired over speakers present in >=1 cremad_24 draw, averaged over draws within speaker",>0,"two-sided test, directional hypothesis",speaker,,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,0.935,expected ~70 paired speakers; sensitivity: bootstrap over draws
N11,C4b,N-modern,0,ravdess,wavlm_base_plus,[RR-GG](ft)-[RR-GG](frozen_same_regime),"re-exposure: fine-tuned premium minus frozen premium, same encoder/head/folds/seeds",>0,"two-sided test, directional hypothesis",speaker,24,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,estimate,0.341,single partition; two seeds
N12,C4b,N-modern,0,cremad,wavlm_base_plus,[RR-GG](ft)-[RR-GG](frozen_same_regime),re-exposure,>0,"two-sided test, directional hypothesis",speaker,91,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,estimate,0.489,
