draw_rank,sampling_key_sha256,candidate_id,canonical_repo_url,target_datasets,discovery_source,search_ids,repo_relation,original_notes,selection_status,screening_outcome,exclusion_code,exclusion_reason,frozen_commit,checked_at,eligible_sequence
1,02888cefe8333623d006ab2c6b80e484be1a66b702cabeb300e8bc23b5c90c27,C112,https://github.com/Vansh-187/speech-emotion-recognition,RAVDESS,GitHubAPI,RC_GH_RAV_1,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=83,selected_eligible,include,,,f21f3700413ea8e5c39921fb102c10672cae69a8,2026-08-10T18:19:10-04:00,1
2,034b96c90fd43c3ac2315cef5d033383f07cca6086b00b4177a1f64e727f3ede,C150,https://github.com/fdhlhdc12/ravdess-dtw-emotion-recognition,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=67,selected_eligible,include,,,c20123028d7e718e624eb56599ae7436ca9991e4,2026-08-10T18:19:10-04:00,2
3,044f6f5bf9fc3089530d5b7a7ef817c0fc546575894b2851babf9fda4d0773f0,C300,https://github.com/leecool9669/emotion-recognition-wav2vec2-IEMOCAP-WebUI,IEMOCAP,GitHubAPI,IE_GH_I_02,unknown,,screened_excluded,exclude,E2_target_not_evaluated,Frozen repository is an explicitly fake/demo-only WebUI: it neither loads real weights nor performs target-data evaluation.,c9c809cd2a863765f52d86d8a254fe38a5c9a610,2026-08-10T18:19:10-04:00,
4,05cc21a3a3ed38d1ac1f46a0eb62e50140aa8b43811963c0051163692777657d,C355,https://github.com/Shiva9855/CodeAlpha_Emotion-Recognition-from-Speech,EmoDB,GitHubAPI,IE_GH_E_HYPHEN_01|IE_GH_E_HYPHEN_02,unknown,,selected_eligible,include,,,cbc84f527fc14b375d34ce2c8aec9b00cabaf459,2026-08-10T18:19:10-04:00,3
5,06a79352a1d7a4c464c5db5c92cb2505a3f5934c0c12148fb64054e363939961,C338,https://github.com/dingdongwang/EmotionThinker,IEMOCAP|EmoDB,WebSearch,IE_WEB_IE_00|IE_WEB_I_01|IE_WEB_E_01,unknown,WEB-IE-00 timestamp reconstructed between adjacent logged calls; combined connector output did not expose a stable result-page URL,selected_eligible,include,,,afcc5c578bc69df436fbb2317957fe4897e33342,2026-08-10T18:19:10-04:00,4
6,07b3ace5b6742574047f44771c916c435668d53166411c3f1c0c2ec5f1659f4d,C167,https://github.com/jobinjoy12/Speech-Emotion-Recognition-using-CREMA-D-dataset,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=9; raw GitHub repository-search hit; GH-CRE-2 rank=11,selected_eligible,include,,,10f7e5102b86904ea3b3bb40708238988834ccd0,2026-08-10T18:19:10-04:00,5
7,08209d406a083ba4271d7fa7caa2c78bbc3c09662fa1aaffce826f6269baa158,C089,https://github.com/Aakash200/speech-emotion-recognition-ravdess-data,RAVDESS,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=58; raw GitHub repository-search hit; GH-RAV-2 rank=92,screened_excluded,exclude,E3_no_relevant_code,"Frozen tree contains the 1,440 RAVDESS WAV files but no source code or evaluation implementation.",7033167b79af57e92c8a9a9b34920ce8ce9235a7,2026-08-10T18:19:10-04:00,
8,0bee1cc75dc2ac12977121c63aad17abbccf06ade207eab39ffc0002b057e34e,C254,https://github.com/ShaheenPerveen/Speech_Emotion_Recognition_IEMOCAP,IEMOCAP,GitHubAPI,IE_GH_I_01|IE_GH_I_02,unknown,same_owner_dedup_review_required against ShaheenPerveen/speech-emotion-recognition-iemocap,selected_eligible,include,,,1f2a835abbf1fbce138b7c26e7e2eb74b35b8147,2026-08-10T18:19:10-04:00,6
9,0bff7d3164e37f5e6293520c44f9854b251460c12962211c351be10f40c3f1ed,C163,https://github.com/sss3799/audio_emotion_recognition,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=97,selected_eligible,include,,,d83a682e7b0abe95fa983ce0323bb71010cd2af5,2026-08-10T18:19:10-04:00,7
10,0c726e29e53133d3420494b007c73f2f60b68ade4a744aadb3e9caf04509fe3d,C118,https://github.com/neerajk23-cmd/Speech-Emotion-Recognition-on-RAVDESS-Dataset,RAVDESS,GitHubAPI,RC_GH_RAV_1,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=89,selected_eligible,include,,,516bc2802eddc65dc382c7d51cd0384410c3e056,2026-08-10T18:19:10-04:00,8
